idx,refcode,name,ligand,DOI,source,coodinated_molecules,charge_estimated,elements,modifications
14,NUHTOC,[Cd(PDT)2][Cd(en)3],"1,6-pyrenedithiolate (PDT)",10.1039/C9CE00875F,CSD,,0,"H, C, N, S, Cd",Deleting solvent and half occupation atoms
15,UZUTAL,Ag2L2(OTf)2,"1,6-bis(diphenyl phosphino)pyrene",10.1021/ic102441b,CSD,,0,"H, C, O, F, P, S, Ag",Removing free solvent
16,XOKQUL,UTSA-72,"3,3 ́,3 ́ ́,3 ́ ́ ́- (pyrene-1,3,6,8-tetrayl) tetrabenzoic acid (PTTB)",10.1021/cg500235j,CSD,DMF,0,"H, C, N, O, Zn",Delete free solvent
17,AJAHID,L8·2BiBr3,"1,3,6,8-tetrakis(4-methylthiophenyl) pyrene (L8)",10.1039/b902490p,CSD,,0,"H, C, S, Br, Bi",None
18,XACGAL,MAS-1,"(4,4’-(2,8-di-tert-butyl- 4,10-dihydropyreno[4,5-d:9,10-d’] diimi-dazole-5,11-diyl) dibenzoic acid (CIP)",10.1021/ic900786b,CSD,H2O,0,"H, C, N, O, Cu",Remove free H2O molecules
19,LURRUM,ROD-7,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1021/ja906041f,CSD,"H2O, DMA",0,"H, C, O, In","Removing half occupation , primitive cell"
20,KEQJEX,Zn-TBAPy,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1021/ja308995t,CSD,H2O,0,"H, C, O, Zn",None
21,FIFFUX,NU-1000,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1021/ja4050828,manual,,0,"H,C,O,Zr",Adding H atoms Zr6 cluster Proton topology
22,wvcvh,NU-901,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",acs.chemmater.0c00634,SI,,0,"H, C, O, Zr",Adding H atoms Zr6 cluster Proton topology
23,HOXSUK,Ni-TBAPy,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1002/zaac.201400136,CSD,H2O,0,"H, C, O, Ni","Remove free solvent, reduced unitcell"
24,WOBQEL,ROD-6,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1039/C3CC49684H,CSD,H2O,0,"H, C, O, Mn",Delete free solvent
25,CODVAU,ROD-8,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1039/C4CE00279B,CSD,,0,"H, C, O, Cd",Half-occupation atoms and free solvent deleted
26,HUDCEQ,NU-505-Zn,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1021/ic501467w,CSD,,0,"H, C, N, O, Zn",Remove half-ocupation atoms and adding H 
27,VUQLEA,Zn-TBAPy,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1039/C5CC07808C,CSD,H2O,0,"H, C, O, Zn",Removing half-occupation atoms 
28,UNUNEY,NU-1300,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1002/anie.201605547,CSD,,-8,"H, C, O, U","Adding H atoms H2O , primitive cell "
30,KAMPEW,MIT-26,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1021/jacs.6b13176,CSD,H2O,0,"H, C, O, Mg",Deleting free solvent atoms
31,KEZGII,UOF-2,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1021/acs.inorgchem.8b00099,CSD,,-8,"H, C, O, U",reduced Primitive Unit
31,ZEWPID,UOF-1,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1021/acs.inorgchem.8b00099,CSD,,-8,"H, C, O, U",None
32,GILFIT,Cd-TBAPy,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1002/adma.201803401,CSD,,0,"H, C, O, Cd",Removing solven and adding H (COOH)
34,SODJUT,SION-7,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1039/C9SC01422E,CSD,H2O,0,"H, C, O, Mg",Adding H atoms H2O and COOH
35,DOGLIX,SION-19,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1038/s41467-019-09486-2,CSD,H2O,-8,"H, C, N, O, Zn",Half-occupation atoms deleted
36,gaeog,AlPyr-MOF,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1038/s41586-019-1798-7,SI,,0,"H, C, O, Al",CIF from the paper
37,mfgtk,Bi-TBAPy,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1021/acs.jpcc.9b02709,SI,,-8,"H, C, O, Bi",CIF from the paper
38,TOZZEQ,Bi-TBAPy,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1016/S1872-2067(19)63329-2,CSD,DMA,0,"H, C, N, O, Bi",Adding H atoms to counterion
39,pghim,Fe-TBAPy,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1039/c9ra03287h,SI,,0,"H, C, O, Fe",CIF from the SI
40,RUGSOE,Cd-TBAPy,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1002/zaac.201900231,CSD,H2O,0,"H, C, O, Cd",Adding H H2O
42,HOFWUX,JXNU-5,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1021/acs.inorgchem.9b00169,CSD,H2O,-3,"H, C, O, Eu",Adding H atoms (H2O groups)
43,XIXCOZ,SION-8,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1002/chem.201805073,CSD,H2O,0,"H, C, O, Ca","Delete free solvent , adding H atoms H2O"
44,MOWNOE,Zn-TBAPy,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1021/acs.inorgchem.9b02203,CSD,H2O,0,"H, C, O, Zn",None
46,FOMJOJ,bioMOF 1,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1021/acs.inorgchem.9b00873,CSD,,-4,"H, C, N, O, Zn",None
47,YOKZEG,Zn-TBAPy,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1002/ejic.201900551,CSD,,-8,"H, C, N, O, Zn",None
47,YOKZIK,Zn-TBAPy,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1002/ejic.201900551,CSD,,-8,"H, C, N, O, Zn",Removing half-occupation atoms 
48,KUJYUM,Co-TBAPy,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1016/j.jssc.2020.121252,CSD,H2O,0,"H, C, O, Co",Deleting H atoms 
48,KUJZAT,Zn-TBAPy,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1016/j.jssc.2020.121252,CSD,H2O,0,"H, C, O, Zn",Deleting H atoms 
49,bopfu,TDL-Mg,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1021/acsami.0c01198,SI,H2O,0,"H, C, O, Mg","CIF from paper, primite cell"
50,ncvdl,ACM-1,"1,3,6,8-tetrakis (4-carboxylphenyl) pyrene (TBAPy)",10.1002/anie.202000158,built from pghim,,0,"H, C, O, Ti",
52,FIZPOV,JUC-118,"1,3,6,8-tetrakis (3,5-isophthalic acid)pyrene (TIAPy)",10.1021/cg401887b,CSD,"H2O, DMSO",0,"H, C, O, S, Zn",Adding H atoms (H2O groups)
52,FIZPUB,JUC-118-1,"1,3,6,8-tetrakis (3,5-isophthalic acid)pyrene (TIAPy)",10.1021/cg401887b,CSD,H2O,0,"H, C, O, Zn",Adding H atoms (H2O groups)
52,FIZQAI,JUC-118-Cu,"1,3,6,8-tetrakis (3,5-isophthalic acid)pyrene (TIAPy)",10.1021/cg401887b,CSD,H2O,0,"H, C, O, Cu",Adding H atoms (H2O groups)
53,LOSBOM,MgMOF,"1,3,6,8-tetrakis
(3,5-isophthalic acid)pyrene (TIAPy)",10.1039/C4RA10835C,CSD,,0,"H, C, N, O, Mg",Adding H atoms (H2O) and remove half occupation atoms
54,QOTHOY,Co-tdcppy,"1,3,6,8-tetrakis (3,5-dicarboxyphenyl)pyrene (tdcppy)",10.1039/C4QI00240G,CSD,H2O,0,"H, C, N, O, Co",Deleting half occupation atoms and solvent molecules
55,DOZKIO,JUC-119,"1,3,6,8-tetrakis (3,5-isophthalic acid)pyrene (TIAPy)",10.1021/ic501560z,CSD,H2O,0,"H, C, O, Eu",Adding H atoms (H2O and COOH groups)
56,WAWKUD,JUC-138,"1,3,6,8-tetrakis (3,5-isophthalic acid)pyrene (TIAPy)",10.1021/acs.cgd.6b01864,CSD,,-4,"H, C, O, In",None
57,NAHDIM,Zn-PLA,"1,3,6,8-tetrakis
(4-(α -carboxy–(R)-α -methyl) methoxy-2,6-dimethylphenyl) pyrene (PLA)",10.1039/C5SC03839A,CSD,DMA+,-4,"H, C, N, O, Zn",Adding H atoms (H2O) 
58,MOYREA,BUT-72,"3,3 ́,3 ́ ́,3 ́ ́ ́-(pyrene -1,3,6,8-tetrayltetrakis(benzene- 4,1-diyl))tetraacrylate (PTSA)",10.1021/acs.inorgchem.9b02397,CSD,,0,"H, C, O, Zr",Adding H atoms Zr6 Cluster proton topology
61,BOLZIN,NU-1100,"4,4 ́,4 ́ ́,4 ́ ́ ́-(pyrene -1,3,6,8-tetrayl tetrakis(ethyne-2,1-diyl)) tetrabenzoic acid (PTBA)",10.1002/chem.201402895,CSD,,0,"H, C, O, Zr","Primitive cell, and Adding H atoms Zr6 cluster "
62,MUBZUG,Zrptba,"4,4´,4´´,4´´´-(pyrene
-1,3,6,8-tetrayl
tetrakis(ethyne-2,1-diyl))
tetrabenzoic acid (PTBA)",10.1002/anie.201406501,CSD,,0,"H, C, O, Zr","Removing half occupation , add H to cluster"
63,JURKIS,Mn-L,"1,3,6,8-tetrakis (2,6-dimethyl-4-(α -carboxy) methoxyphenyl)pyrene
",10.1107/S2052252515012506,CSD,"H2O, DMF",0,"H, C, N, O, Mn",Adding H atoms (H2O groups)
66,VUWSEN,LMOF-1,"1,3,6,8-tetrakis (4 ́-carboxy[1,1 ́-biphenyl] -4-yl-)pyrene (TCBPPy)",10.1039/c5ta03361f,CSD,,0,"H, C, O, Zr",Deleting half occupation atoms and H atoms Zr6 cluster
68,COKKUL,PCN-882,"4,4 ́,4 ́ ́,4 ́ ́ ́-((2,7-di-tert-butylpyrene -4,5,9,10-tetrayl)tetrakis (ethyne-2,1-diyl))-tetrabenzoate (BPETB)",10.1039/C9SC03080H,CSD,,0,"H, C, O, Zr",Deleting C atoms and adding H atoms 
